NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
r6,-0.955933,-0.046875,0.108398,0.0,11.59668,1.525879,2026-04-20T14:57:31.091733+00:00
r6,-1.016235,-0.00293,0.244751,-3.234863,7.69043,0.061035,2026-04-20T14:57:31.121763+00:00
r6,-0.985474,-0.009155,0.143311,-4.455566,8.178711,-2.197266,2026-04-20T14:57:31.153181+00:00
r6,-1.026733,-0.007324,0.225464,3.173828,10.253906,-0.183105,2026-04-20T14:57:31.182208+00:00
r6,-0.973999,-0.062256,0.178223,-1.525879,9.82666,-0.854492,2026-04-20T14:57:31.213219+00:00
r6,-0.923096,0.005737,0.183228,-4.577637,10.375977,1.281738,2026-04-20T14:57:31.243815+00:00
r6,-1.073853,-0.018066,0.253296,-4.02832,12.329102,0.549316,2026-04-20T14:57:31.274750+00:00
r6,-0.921997,0.020874,0.166626,-5.493164,11.84082,0.0,2026-04-20T14:57:31.304746+00:00
r6,-0.995728,0.015259,0.267334,-2.075195,8.361816,0.915527,2026-04-20T14:57:31.334758+00:00
r6,-1.060303,0.017212,0.264526,-5.249023,11.71875,0.061035,2026-04-20T14:57:31.363780+00:00
r6,-0.922852,-0.027588,0.168945,-4.272461,14.587402,-0.488281,2026-04-20T14:57:31.394763+00:00
r6,-0.965698,-0.014038,0.266602,-2.380371,9.94873,1.342773,2026-04-20T14:57:31.425346+00:00
r6,-1.003784,-0.023682,0.247681,-1.098633,14.282227,1.098633,2026-04-20T14:57:31.454765+00:00
r6,-0.977539,-0.046143,0.220215,-4.943848,11.535645,2.685547,2026-04-20T14:57:31.485188+00:00
r6,-0.96106,-0.009277,0.269775,-6.958008,12.268066,2.929688,2026-04-20T14:57:31.515761+00:00
r6,-0.922485,0.008057,0.251221,-1.037598,14.831543,5.004883,2026-04-20T14:57:31.545195+00:00
r6,-0.980713,0.044922,0.32251,-1.403809,11.779785,3.417969,2026-04-20T14:57:31.575832+00:00
r6,-0.906372,0.028198,0.202271,-0.427246,15.075684,2.929688,2026-04-20T14:57:31.605814+00:00
r6,-0.921753,-0.052734,0.254517,-3.234863,15.380859,4.272461,2026-04-20T14:57:31.636796+00:00
r6,-0.994141,0.001221,0.368896,-3.417969,11.413574,5.67627,2026-04-20T14:57:31.666825+00:00
r6,-0.992554,-0.05249,0.265015,-2.624512,15.441895,6.591797,2026-04-20T14:57:31.697783+00:00
r6,-0.935059,0.001465,0.346069,-4.516602,12.145996,5.004883,2026-04-20T14:57:31.727208+00:00
r6,-0.93103,-0.005981,0.30896,-0.183105,13.549805,7.019043,2026-04-20T14:57:31.758224+00:00
r6,-1.049805,-0.002197,0.41394,-4.882812,12.451172,6.225586,2026-04-20T14:57:31.788226+00:00
r6,-0.90686,0.047729,0.304077,-0.488281,14.404297,6.103516,2026-04-20T14:57:31.818229+00:00
r6,-0.961914,-0.095215,0.413208,-1.831055,19.65332,6.591797,2026-04-20T14:57:31.848799+00:00
r6,-1.083252,-0.096313,0.415527,-2.624512,11.169434,8.056641,2026-04-20T14:57:31.879838+00:00
r6,-1.039429,-0.003296,0.428223,-6.04248,15.50293,7.202148,2026-04-20T14:57:31.910246+00:00
r6,-0.840942,0.014282,0.34375,-1.403809,11.84082,8.972168,2026-04-20T14:57:31.940233+00:00
r6,-0.97998,0.012329,0.470825,-4.760742,10.986328,8.422852,2026-04-20T14:57:31.970294+00:00
r6,-0.938599,-0.028442,0.456543,-2.746582,11.779785,8.422852,2026-04-20T14:57:32.001273+00:00
r6,-0.906128,-0.06897,0.400024,-2.807617,11.291504,8.728027,2026-04-20T14:57:32.032249+00:00
r6,-1.014648,-0.054687,0.428467,2.197266,12.268066,9.399414,2026-04-20T14:57:32.062819+00:00
r6,-0.981934,-0.057617,0.359985,-5.249023,11.413574,9.033203,2026-04-20T14:57:32.093857+00:00
r6,-0.937866,0.045654,0.435181,-5.310059,11.474609,9.82666,2026-04-20T14:57:32.124336+00:00
r6,-0.938843,-0.011841,0.437866,-0.549316,10.925293,9.521484,2026-04-20T14:57:32.155307+00:00
r6,-0.951782,0.034546,0.449097,-2.01416,9.58252,10.681152,2026-04-20T14:57:32.184831+00:00
r6,-0.789307,-0.073364,0.460205,-5.92041,16.540527,9.58252,2026-04-20T14:57:32.214830+00:00
r6,-0.738037,-0.092041,0.419922,-0.244141,14.953613,10.559082,2026-04-20T14:57:32.245865+00:00
r6,-0.834717,-0.082153,0.457397,-6.652832,10.314941,10.253906,2026-04-20T14:57:32.275851+00:00
r6,-0.901855,-0.039429,0.452026,-2.380371,13.48877,10.559082,2026-04-20T14:57:32.306878+00:00
r6,-0.810791,-0.103882,0.412842,-3.234863,15.441895,9.765625,2026-04-20T14:57:32.337856+00:00
r6,-0.980957,-0.049194,0.602295,-3.78418,7.446289,11.108398,2026-04-20T14:57:32.368307+00:00
r6,-0.778198,-0.020508,0.391846,-4.150391,14.282227,11.047363,2026-04-20T14:57:32.398863+00:00
r6,-0.83728,-0.115479,0.582642,-2.258301,11.901855,10.864258,2026-04-20T14:57:32.429871+00:00
r6,-0.879517,-0.10437,0.553589,-2.502441,9.155273,10.986328,2026-04-20T14:57:32.460891+00:00
r6,-0.927734,0.029175,0.507568,-1.586914,9.155273,11.108398,2026-04-20T14:57:32.491298+00:00
r6,-0.7854,-0.053589,0.496216,-4.333496,8.239746,9.82666,2026-04-20T14:57:32.521876+00:00
r6,-0.900513,-0.113647,0.557251,-2.990723,7.141113,10.009766,2026-04-20T14:57:32.552875+00:00
r6,-0.834106,-0.082153,0.494995,-4.272461,10.864258,10.925293,2026-04-20T14:57:32.583906+00:00
r6,-0.851807,-0.043945,0.522339,-1.77002,7.019043,9.94873,2026-04-20T14:57:32.614306+00:00
r6,-0.808228,-0.077637,0.52832,-0.854492,7.873535,9.887695,2026-04-20T14:57:32.645307+00:00
r6,-0.790161,-0.071045,0.532959,-2.929688,8.117676,9.887695,2026-04-20T14:57:32.676297+00:00
r6,-0.851807,-0.106567,0.521362,-4.272461,8.605957,10.070801,2026-04-20T14:57:32.706892+00:00
r6,-0.843384,-0.114746,0.535522,-0.061035,4.882812,9.155273,2026-04-20T14:57:32.737303+00:00
r6,-0.861816,-0.094604,0.48291,1.403809,6.225586,9.643555,2026-04-20T14:57:32.766345+00:00
r6,-0.819824,-0.112671,0.512085,-2.563477,5.371094,8.728027,2026-04-20T14:57:32.796892+00:00
r6,-0.85437,-0.091431,0.552979,-1.464844,3.90625,8.422852,2026-04-20T14:57:32.827890+00:00
r6,-0.869751,-0.113647,0.653564,-2.502441,3.967285,8.117676,2026-04-20T14:57:32.858336+00:00
r6,-0.85022,-0.16687,0.592773,-1.220703,4.333496,7.8125,2026-04-20T14:57:32.888923+00:00
r6,-0.829712,-0.079346,0.541016,1.586914,5.554199,7.568359,2026-04-20T14:57:32.919325+00:00
r6,-0.825684,-0.193237,0.640747,-1.525879,6.591797,7.8125,2026-04-20T14:57:32.949903+00:00
r6,-0.785645,-0.084106,0.557617,-1.708984,5.126953,8.972168,2026-04-20T14:57:32.980324+00:00
r6,-0.849731,-0.063232,0.588501,-5.126953,5.79834,8.300781,2026-04-20T14:57:33.010332+00:00
r6,-0.830566,-0.215942,0.532715,1.953125,4.882812,6.469727,2026-04-20T14:57:33.038941+00:00
r6,-0.784424,-0.173706,0.570068,3.540039,4.699707,6.713867,2026-04-20T14:57:33.068333+00:00
r6,-0.79248,-0.101685,0.547852,1.159668,2.685547,6.408691,2026-04-20T14:57:33.097923+00:00
r6,-0.814087,-0.100464,0.531982,0.488281,4.699707,6.286621,2026-04-20T14:57:33.127979+00:00
r6,-0.822632,-0.176758,0.636475,-0.549316,3.90625,5.981445,2026-04-20T14:57:33.157949+00:00
r6,-0.829956,-0.139648,0.539917,0.610352,2.13623,5.249023,2026-04-20T14:57:33.188344+00:00
r6,-0.824097,-0.167236,0.681519,0.183105,3.479004,5.554199,2026-04-20T14:57:33.218929+00:00
r6,-0.824951,-0.148926,0.580078,2.319336,3.662109,5.004883,2026-04-20T14:57:33.249363+00:00
r6,-0.796387,-0.153687,0.671021,3.417969,3.479004,3.967285,2026-04-20T14:57:33.278934+00:00
