NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
niryo-wrist-imu,-0.987061,-0.10022,0.125366,2.807617,0.488281,-2.685547,2026-04-15T19:52:17.614105+00:00
niryo-wrist-imu,-0.99707,-0.093994,0.126953,2.563477,0.610352,-2.807617,2026-04-15T19:52:17.644108+00:00
niryo-wrist-imu,-0.991943,-0.098389,0.126099,2.868652,0.671387,-2.685547,2026-04-15T19:52:17.673101+00:00
niryo-wrist-imu,-0.994141,-0.094971,0.128052,2.624512,0.488281,-2.685547,2026-04-15T19:52:17.703534+00:00
niryo-wrist-imu,-0.994629,-0.096436,0.12793,2.685547,0.488281,-2.746582,2026-04-15T19:52:17.733120+00:00
niryo-wrist-imu,-0.993896,-0.100586,0.129395,2.868652,0.671387,-2.807617,2026-04-15T19:52:17.762540+00:00
niryo-wrist-imu,-0.994385,-0.095337,0.126465,2.807617,0.427246,-2.746582,2026-04-15T19:52:17.793114+00:00
niryo-wrist-imu,-0.996948,-0.099731,0.127808,2.746582,0.549316,-2.685547,2026-04-15T19:52:17.823546+00:00
niryo-wrist-imu,-0.990601,-0.096436,0.127075,2.990723,0.305176,-2.746582,2026-04-15T19:52:17.852549+00:00
niryo-wrist-imu,-0.996704,-0.099243,0.129639,2.990723,0.671387,-2.807617,2026-04-15T19:52:17.882191+00:00
niryo-wrist-imu,-0.989258,-0.099609,0.126221,2.746582,0.549316,-2.685547,2026-04-15T19:52:17.912553+00:00
niryo-wrist-imu,-0.998779,-0.095215,0.129028,2.807617,0.427246,-2.685547,2026-04-15T19:52:17.942210+00:00
niryo-wrist-imu,-0.991455,-0.098022,0.124146,2.868652,0.549316,-2.685547,2026-04-15T19:52:17.972542+00:00
niryo-wrist-imu,-0.995117,-0.096069,0.12854,2.807617,0.488281,-2.746582,2026-04-15T19:52:18.002123+00:00
niryo-wrist-imu,-0.993896,-0.099121,0.129639,2.807617,0.610352,-2.868652,2026-04-15T19:52:18.032049+00:00
niryo-wrist-imu,-0.99353,-0.100098,0.12793,2.685547,0.488281,-2.868652,2026-04-15T19:52:18.062565+00:00
niryo-wrist-imu,-1.008789,-0.097046,0.132935,2.868652,0.488281,-2.746582,2026-04-15T19:52:18.091572+00:00
niryo-wrist-imu,-1.045288,-0.106323,0.153687,2.441406,1.220703,-2.441406,2026-04-15T19:52:18.120569+00:00
niryo-wrist-imu,-1.00354,-0.098267,0.156738,1.037598,4.211426,-3.234863,2026-04-15T19:52:18.151147+00:00
niryo-wrist-imu,-1.026978,-0.125488,0.174194,2.197266,6.591797,-2.563477,2026-04-15T19:52:18.182170+00:00
niryo-wrist-imu,-1.018433,-0.155884,0.147461,-1.647949,8.911133,-3.051758,2026-04-15T19:52:18.211167+00:00
niryo-wrist-imu,-0.956665,-0.154663,0.077881,-3.601074,9.460449,-2.868652,2026-04-15T19:52:18.242613+00:00
niryo-wrist-imu,-1.013306,-0.118652,0.213745,-5.126953,8.789063,-1.464844,2026-04-15T19:52:18.273164+00:00
niryo-wrist-imu,-1.064453,-0.085327,0.223145,-4.943848,3.356934,0.427246,2026-04-15T19:52:18.302575+00:00
niryo-wrist-imu,-0.949951,-0.071899,0.123047,-6.103516,6.225586,-1.281738,2026-04-15T19:52:18.333167+00:00
niryo-wrist-imu,-0.953979,-0.074829,0.073853,-8.666992,7.080078,-3.479004,2026-04-15T19:52:18.363622+00:00
niryo-wrist-imu,-1.051147,-0.091675,0.206055,-8.850098,11.352539,-4.455566,2026-04-15T19:52:18.393597+00:00
niryo-wrist-imu,-0.948608,-0.136597,0.131836,-7.141113,15.136719,-3.417969,2026-04-15T19:52:18.424174+00:00
niryo-wrist-imu,-0.980103,-0.174683,0.178711,-11.84082,11.169434,-3.479004,2026-04-15T19:52:18.455597+00:00
niryo-wrist-imu,-0.99585,-0.153564,0.149902,-15.625,4.943848,-1.159668,2026-04-15T19:52:18.487179+00:00
niryo-wrist-imu,-1.014526,-0.128418,0.202881,-14.404297,6.408691,-2.13623,2026-04-15T19:52:18.518603+00:00
niryo-wrist-imu,-1.0271,-0.035278,0.303589,-13.61084,10.253906,-0.915527,2026-04-15T19:52:18.549605+00:00
niryo-wrist-imu,-0.969482,-0.043335,0.128052,-15.808105,14.160156,-3.173828,2026-04-15T19:52:18.581190+00:00
niryo-wrist-imu,-0.942017,-0.117798,0.105103,-15.197754,17.456055,-4.150391,2026-04-15T19:52:18.612600+00:00
niryo-wrist-imu,-1.007935,-0.144775,0.277466,-12.329102,11.108398,-2.075195,2026-04-15T19:52:18.644192+00:00
niryo-wrist-imu,-1.014893,-0.108276,0.239136,-15.563965,10.253906,0.183105,2026-04-15T19:52:18.675198+00:00
niryo-wrist-imu,-0.960693,-0.133301,0.204956,-18.676758,17.028809,-1.525879,2026-04-15T19:52:18.706196+00:00
niryo-wrist-imu,-0.945312,-0.094482,0.189331,-16.723633,16.845703,0.0,2026-04-15T19:52:18.737204+00:00
niryo-wrist-imu,-1.016113,-0.057617,0.290405,-18.310547,14.343262,-0.793457,2026-04-15T19:52:18.768633+00:00
niryo-wrist-imu,-1.018066,-0.064697,0.256958,-17.150879,17.028809,-1.831055,2026-04-15T19:52:18.799630+00:00
niryo-wrist-imu,-0.907227,-0.083862,0.180664,-14.770508,20.141602,-0.488281,2026-04-15T19:52:18.831236+00:00
niryo-wrist-imu,-0.953369,-0.095459,0.288208,-17.883301,16.052246,-0.610352,2026-04-15T19:52:18.862631+00:00
niryo-wrist-imu,-0.993652,-0.076294,0.333984,-21.362305,16.540527,-1.464844,2026-04-15T19:52:18.894198+00:00
niryo-wrist-imu,-0.958984,-0.047607,0.336426,-19.287109,18.493652,0.244141,2026-04-15T19:52:18.925225+00:00
